image_path,image_url,pottery_style,pottery_shape,uniform_image_name
images-nicky-test/208223-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/8A9E1A2D-DEAD-4537-82A9-5CF652DFD0BD,BLACK-FIGURE,LEKYTHOS,BF_image0.jpg
images-nicky-test/CVA.SP03.112-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/9688F733-E204-4F02-B59E-49E9AF089B18,BLACK-FIGURE,LEKYTHOS,BF_image1.jpg
images-nicky-test/CVA.IT07.322-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/D9D10FEF-6BD2-4651-8499-71581EE3CD46,BLACK-FIGURE,AMPHORA NECK,BF_image2.jpg
images-nicky-test/CVA.GDR02.096-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/8CE4E707-9861-424B-8745-2B65C7CC03E3,BLACK-FIGURE,LEKYTHOS,BF_image3.jpg
images-nicky-test/CVA.FR36.1594-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/7D512367-E5B1-4805-93C0-B76E5FEA3629,BLACK-FIGURE,LEKYTHOS,BF_image4.jpg
images-nicky-test/CVA.GER37.1830-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/AA1CD952-927D-41D7-B7AF-39520936CF95,BLACK-FIGURE,AMPHORA NECK,BF_image5.jpg
images-nicky-test/31336-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/64E20AF2-1E76-4906-B1E1-18DB955DC5C7,BLACK-FIGURE,AMPHORA NECK,BF_image6.jpg
images-nicky-test/CVA.GER37.BEIL-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/AA1CD952-927D-41D7-B7AF-39520936CF95,BLACK-FIGURE,AMPHORA NECK,BF_image7.jpg
images-nicky-test/F4E097EDDAF249F2887A329CE281044D-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/56684395-D6A5-4D8D-9AA4-5D4599B698A4,BLACK-FIGURE,LEKYTHOS,BF_image8.jpg
images-nicky-test/CVA.GER37.1820-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/AA1CD952-927D-41D7-B7AF-39520936CF95,BLACK-FIGURE,AMPHORA NECK,BF_image9.jpg
images-nicky-test/275178-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/A858F2F8-7AEB-4F9C-9D9C-580231CF8952,BLACK-FIGURE,LEKYTHOS,BF_image10.jpg
images-nicky-test/3284-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/3CD4DFE0-3416-43A9-BBDE-FFC282154A16,BLACK-FIGURE,LEKYTHOS,BF_image11.jpg
images-nicky-test/201803-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/65E46785-B95E-410F-AFE3-AA81E0321C98,BLACK-FIGURE,AMPHORA NECK,BF_image12.jpg
images-nicky-test/CVA.IT03.134-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/8AB23F04-737C-42E8-AA4B-3FEF69DE3653,BLACK-FIGURE,LEKYTHOS,BF_image13.jpg
images-nicky-test/208225-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/7953A661-7DA4-44DF-B972-E022C46B8652,BLACK-FIGURE,LEKYTHOS,BF_image14.jpg
images-nicky-test/CVA.GER37.1816-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/AA1CD952-927D-41D7-B7AF-39520936CF95,BLACK-FIGURE,AMPHORA NECK,BF_image15.jpg
images-nicky-test/0465952B32284B85BFCCF2E181C62C00-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/56684395-D6A5-4D8D-9AA4-5D4599B698A4,BLACK-FIGURE,LEKYTHOS,BF_image16.jpg
images-nicky-test/CVA.GER62.BEIL.4-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/7953A661-7DA4-44DF-B972-E022C46B8652,BLACK-FIGURE,LEKYTHOS,BF_image17.jpg
images-nicky-test/275632-BLACK-FIGURE.jpg,http://www.beazley.ox.ac.uk/record/D230C15F-FB3E-4A35-8238-8F14CF8FFBD2,BLACK-FIGURE,LEKYTHOS,BF_image18.jpg
